TRANSNR;LOTNT;MARKS;MARKS2;REF;REF2;BAGMARK;GRADE-GR;BAGSNR;WEIGHT-Kgr;SALENO;BAGSBOUGHTNR;WEIGHTBOUGHT-Kgr;BUYERCODE;PRICE;SEATNR;AUCTCODE;STATUS;ISODATE;SEASON;VALUE
321;1639;43LE0033/MUSILILI/XBE30F01;43LE0033/MUSILILI/XBE30F01/;XBE30F01;XBE30F01;43LE0033;UG2;23;1179;30;23;1179;237;102;13;17;1;05-Sep-17;2016-2017;2405.16
322;1640;46SS0080/GULMARG/AA.0035;46SS0080/GULMARG/AA0035/;AA0035;AA0035;46SS0080;UG2;30;1843;30;30;1843;237;133;13;17;1;05-Sep-17;2016-2017;4902.38
323;1641;46SS1004/P/BULK;46SS1004/P/BULK/;BULK;BULK;46SS1004;UG1;21;1315;30;21;1315;74;130;74;17;1;05-Sep-17;2016-2017;3419
324;1642;44LE0086/UTOONI/XBE06F05;44LE0086/UTOONI/XBE06F05/;XBE06F05;XBE06F05;44LE0086;UG1;10;654;30;10;654;21;139;21;17;2;05-Sep-17;2016-2017;1818.12
325;1643;43LE0033/MUSILILI/XBE30F01;43LE0033/MUSILILI/XBE30F01/;XBE30F01;XBE30F01;43LE0033;UG1;19;1186;30;19;1186;21;133;21;17;2;05-Sep-17;2016-2017;3154.76
326;1644;46SS0080/GULMARG/AA.0035;46SS0080/GULMARG/AA0035/;AA0035;AA0035;46SS0080;UG1;10;656;30;10;656;39;108;39;17;2;05-Sep-17;2016-2017;1416.96
327;1645;46SS1008/KAGUMOINI/XAB81F01;46SS1008/KAGUMOINI/XAB81F01/;XAB81F01;XAB81F01;46SS1008;T;9;567;30;9;567;39;133;39;17;1;05-Sep-17;2016-2017;1508.22
328;1646;42LE1000/P/BULK;42LE1000/P/BULK/;BULK;BULK;42LE1000;T;8;502;30;8;502;39;78;39;17;2;05-Sep-17;2016-2017;783.12
329;1647;46LE1004/P/BULK;46LE1004/P/BULK/;BULK;BULK;46LE1004;T;7;465;30;7;465;39;105;39;17;2;05-Sep-17;2016-2017;976.5
330;1648;44LE0073/KITHIMA/XBE06F03;44LE0073/KITHIMA/XBE06F03/;XBE06F03;XBE06F03;44LE0073;T;28;1712;30;28;1712;52;146;52;17;1;05-Sep-17;2016-2017;4999.04
331;1649;46SS0077/NCHOROIBOR/XBB63F01;46SS0077/NCHOROIBOR/XBB63F01/;XBB63F01;XBB63F01;46SS0077;T;22;1386;30;22;1386;237;87;13;17;2;05-Sep-17;2016-2017;2411.64
332;1650;46LE1002/P/BULK;46LE1002/P/BULK/;BULK;BULK;46LE1002;T;19;1172;30;19;1172;160;109;40;17;2;05-Sep-17;2016-2017;2554.96
333;1651;46SS0085/KITHOKA/XBB06F08;46SS0085/KITHOKA/XBB06F08/;XBB06F08;XBB06F08;46SS0085;T;17;1062;30;17;1062;237;97;13;17;2;05-Sep-17;2016-2017;2060.28
334;1652;46SS0078/NCHOROIBOR/XBB63F01;46SS0078/NCHOROIBOR/XBB63F01/;XBB63F01;XBB63F01;46SS0078;T;16;960;30;16;960;74;96;74;17;2;05-Sep-17;2016-2017;1843.2
335;1653;46SS2004/BULK;46SS2004/BULK;HE;18;1088;30;18;1088;237;132;13;17;2;05-Sep-17;2016-2017;2872.32;;;
336;1654;46SS2003/BULK;46SS2003/BULK;HE;23;1438;30;23;1438;237;133;13;17;2;05-Sep-17;2016-2017;3825.08;;;
337;1655;46SS1008/KAGUMOINI/XAB81F01;46SS1008/KAGUMOINI/XAB81F01/;XAB81F01;XAB81F01;46SS1008;TT;6;397;30;6;397;237;229;13;17;1;05-Sep-17;2016-2017;1818.26
338;1656;46LE1002/P/BULK;46LE1002/P/BULK/;BULK;BULK;46LE1002;TT;7;478;30;7;478;237;141;13;17;1;05-Sep-17;2016-2017;1347.96
339;1657;46LE1004/P/BULK;46LE1004/P/BULK/;BULK;BULK;46LE1004;TT;7;481;30;7;481;74;151;74;17;2;05-Sep-17;2016-2017;1452.62
340;1658;46LE1004/P/BULK;46LE1004/P/BULK/;BULK;BULK;46LE1004;C;11;685;30;11;685;160;242;40;17;1;05-Sep-17;2016-2017;3315.4
341;1659;42LE1000/P/BULK;42LE1000/P/BULK/;BULK;BULK;42LE1000;C;15;937;30;15;937;238;231;57;17;1;05-Sep-17;2016-2017;4328.94
342;1660;46SS1008/KAGUMOINI/XAB81F01;46SS1008/KAGUMOINI/XAB81F01/;XAB81F01;XAB81F01;46SS1008;C;54;3240;30;54;3240;74;181;74;17;2;05-Sep-17;2016-2017;11728.8
343;1661;44LE0073/KITHIMA/XBE06F03;44LE0073/KITHIMA/XBE06F03/;XBE06F03;XBE06F03;44LE0073;C;45;2757;30;45;2757;52;249;52;17;1;05-Sep-17;2016-2017;13729.86
344;1662;43LE0032/MUSILILI/XBE30F01;43LE0032/MUSILILI/XBE30F01/;XBE30F01;XBE30F01;43LE0032;C;5;337;30;5;337;39;151;39;17;2;05-Sep-17;2016-2017;1017.74
345;1663;46SS0077/NCHOROIBOR/XBB63F01;46SS0077/NCHOROIBOR/XBB63F01/;XBB63F01;XBB63F01;46SS0077;C;43;2600;30;43;2600;52;184;52;17;2;05-Sep-17;2016-2017;9568
346;1664;46LE1002/P/BULK;46LE1002/P/BULK/;BULK;BULK;46LE1002;C;20;1237;30;20;1237;52;144;52;17;2;05-Sep-17;2016-2017;3562.56
347;1665;46SS0085/KITHOKA/XBB06F08;46SS0085/KITHOKA/XBB06F08/;XBB06F08;XBB06F08;46SS0085;C;31;1924;30;31;1924;151;140;42;17;2;05-Sep-17;2016-2017;5387.2
348;1666;46SS0078/NCHOROIBOR/XBB63F01;46SS0078/NCHOROIBOR/XBB63F01/;XBB63F01;XBB63F01;46SS0078;C;48;2889;30;48;2889;52;150;52;17;2;05-Sep-17;2016-2017;8667
349;1667;46SS1008/KAGUMOINI/XAB81F01;46SS1008/KAGUMOINI/XAB81F01/;XAB81F01;XAB81F01;46SS1008;AB;35;2120;30;35;2120;74;190;74;17;2;05-Sep-17;2016-2017;8056
350;1668;41SS3007/KEKUKA/AB.0473C;41SS3007/KEKUKA/AB0473C/;AB0473C;AB0473C;41SS3007;AB;2;186;30;2;186;151;153;42;17;2;05-Sep-17;2016-2017;569.16
351;1669;46LE1002/P/BULK;46LE1002/P/BULK/;BULK;BULK;46LE1002;AB;10;615;30;10;615;238;251;57;17;2;05-Sep-17;2016-2017;3087.3
352;1670;46SS0085/KITHOKA/XBB06F08;46SS0085/KITHOKA/XBB06F08/;XBB06F08;XBB06F08;46SS0085;AB;7;468;30;7;468;39;164;39;17;2;05-Sep-17;2016-2017;1535.04
353;1671;46SS0078/NCHOROIBOR/XBB63F01;46SS0078/NCHOROIBOR/XBB63F01/;XBB63F01;XBB63F01;46SS0078;AB;20;1221;30;20;1221;47;251;47;17;2;05-Sep-17;2016-2017;6129.42
354;1672;47SS1001/BULK;47SS1001/BULK;ML;19;1205;30;19;1205;238;98;57;17;1;05-Sep-17;2016-2017;2361.8;;;
355;1673;47SS1001/BULK;47SS1001/BULK;MH;21;1260;30;21;1260;238;110;57;17;1;05-Sep-17;2016-2017;2772;;;
356;1201;44NG1007/BULK;44NG1007/BULK;T;11;719;30;11;719;237;89;13;16;2;05-Sep-17;2016-2017;1279.82;;;
357;1202;44MT2012/BULK;44MT2012/BULK;T;11;707;30;11;707;39;116;39;16;2;05-Sep-17;2016-2017;1640.24;;;
358;1203;42LE0068/KITONGI/XBE24F01;42LE0068/KITONGI/XBE24F01/;XBE24F01;XBE24F01;42LE0068;T;51;3097;30;51;3097;39;118;39;16;2;05-Sep-17;2016-2017;7308.92
359;1204;46NG1011/BULK;46NG1011/BULK;T;6;425;30;0;0;21;50;0;16;2;05-Sep-17;2016-2017;0;;;
360;1205;46MT2010/BULK;46MT2010/BULK;T;4;296;30;4;296;39;129;39;16;2;05-Sep-17;2016-2017;763.68;;;
361;1206;44MT2015/BULK;44MT2015/BULK;TT;8;512;30;8;512;237;131;13;16;2;05-Sep-17;2016-2017;1341.44;;;
362;1207;46MT2011/BULK;46MT2011/BULK;TT;6;380;30;6;380;237;134;13;16;2;05-Sep-17;2016-2017;1018.4;;;
363;1208;44MT2013/BULK;44MT2013/BULK;TT;6;425;30;6;425;237;136;13;16;2;05-Sep-17;2016-2017;1156;;;
364;1209;46MT2012/BULK;46MT2012/BULK;TT;13;780;30;13;780;47;232;13;16;1;05-Sep-17;2016-2017;3619.2;;;
365;1210;44MT2014/BULK;44MT2014/BULK;TT;6;378;30;6;378;237;202;13;16;2;05-Sep-17;2016-2017;1527.12;;;
366;1211;46NG1008/BULK;46NG1008/BULK;C;38;2345;30;38;2345;237;191;13;16;2;05-Sep-17;2016-2017;8957.9;;;
367;1212;46NG0041/CHANIA BRIDGE/AB0008;46NG0041/CHANIABRIDGE/AB0008/;AB0008;AB0008;46NG0041;C;56;3390;30;56;3390;237;192;13;16;2;05-Sep-17;2016-2017;13017.6
368;1213;44NG3001/TWIN RIVER 2/AB0259;44NG3001/TWINRIVER2/AB0259/;AB0259;AB0259;44NG3001;C;45;2754;30;45;2754;52;135;52;16;2;05-Sep-17;2016-2017;7435.8
369;1214;43NG0023/KIGANDA/AB0034;43NG0023/KIGANDA/AB0034/;AB0034;AB0034;43NG0023;C;34;2072;30;34;2072;52;153;52;16;2;05-Sep-17;2016-2017;6340.32
370;1215;44NG1007/BULK;44NG1007/BULK;C;22;1383;30;22;1383;52;169;52;16;2;05-Sep-17;2016-2017;4674.54;;;
371;1216;46NG1011/BULK;46NG1011/BULK;C;54;3271;30;54;3271;237;233;13;16;1;05-Sep-17;2016-2017;15242.86;;;
